NN CREATED N.4
NEURONS1 = 2 		 NEURONS1 = 20 		 ACCURACY_1 = 0.852700 	 ACCURACY_2 = 0.725528 	 ACCURACY_3 = 0.893541 	 ACCURACY_OVERALL = 0.836382
NEURONS1 = 3 		 NEURONS1 = 13 		 ACCURACY_1 = 0.877087 	 ACCURACY_2 = 0.690211 	 ACCURACY_3 = 0.903230 	 ACCURACY_OVERALL = 0.838720
NEURONS1 = 4 		 NEURONS1 = 4 		 ACCURACY_1 = 0.873813 	 ACCURACY_2 = 0.736276 	 ACCURACY_3 = 0.900000 	 ACCURACY_OVERALL = 0.848526
NEURONS1 = 5 		 NEURONS1 = 15 		 ACCURACY_1 = 0.866939 	 ACCURACY_2 = 0.742418 	 ACCURACY_3 = 0.919498 	 ACCURACY_OVERALL = 0.856301
NEURONS1 = 6 		 NEURONS1 = 4 		 ACCURACY_1 = 0.927332 	 ACCURACY_2 = 0.671593 	 ACCURACY_3 = 0.901794 	 ACCURACY_OVERALL = 0.848780
NEURONS1 = 7 		 NEURONS1 = 12 		 ACCURACY_1 = 0.886416 	 ACCURACY_2 = 0.686372 	 ACCURACY_3 = 0.901675 	 ACCURACY_OVERALL = 0.839939
NEURONS1 = 8 		 NEURONS1 = 2 		 ACCURACY_1 = 0.879542 	 ACCURACY_2 = 0.732246 	 ACCURACY_3 = 0.928349 	 ACCURACY_OVERALL = 0.861280
NEURONS1 = 9 		 NEURONS1 = 16 		 ACCURACY_1 = 0.890344 	 ACCURACY_2 = 0.717850 	 ACCURACY_3 = 0.892344 	 ACCURACY_OVERALL = 0.845528
NEURONS1 = 10 		 NEURONS1 = 14 		 ACCURACY_1 = 0.895254 	 ACCURACY_2 = 0.710173 	 ACCURACY_3 = 0.909091 	 ACCURACY_OVERALL = 0.852134
NEURONS1 = 11 		 NEURONS1 = 9 		 ACCURACY_1 = 0.891980 	 ACCURACY_2 = 0.702495 	 ACCURACY_3 = 0.934211 	 ACCURACY_OVERALL = 0.859756
NEURONS1 = 12 		 NEURONS1 = 6 		 ACCURACY_1 = 0.899673 	 ACCURACY_2 = 0.706334 	 ACCURACY_3 = 0.926316 	 ACCURACY_OVERALL = 0.859807
NEURONS1 = 13 		 NEURONS1 = 14 		 ACCURACY_1 = 0.877250 	 ACCURACY_2 = 0.729367 	 ACCURACY_3 = 0.913876 	 ACCURACY_OVERALL = 0.853659
NEURONS1 = 14 		 NEURONS1 = 3 		 ACCURACY_1 = 0.871031 	 ACCURACY_2 = 0.745873 	 ACCURACY_3 = 0.935766 	 ACCURACY_OVERALL = 0.865396
NEURONS1 = 15 		 NEURONS1 = 6 		 ACCURACY_1 = 0.894108 	 ACCURACY_2 = 0.741651 	 ACCURACY_3 = 0.930502 	 ACCURACY_OVERALL = 0.869207
NEURONS1 = 16 		 NEURONS1 = 20 		 ACCURACY_1 = 0.870704 	 ACCURACY_2 = 0.706334 	 ACCURACY_3 = 0.934211 	 ACCURACY_OVERALL = 0.854167
NEURONS1 = 17 		 NEURONS1 = 3 		 ACCURACY_1 = 0.908347 	 ACCURACY_2 = 0.698656 	 ACCURACY_3 = 0.934211 	 ACCURACY_OVERALL = 0.863821
NEURONS1 = 18 		 NEURONS1 = 19 		 ACCURACY_1 = 0.893453 	 ACCURACY_2 = 0.708829 	 ACCURACY_3 = 0.933493 	 ACCURACY_OVERALL = 0.861585
NEURONS1 = 19 		 NEURONS1 = 14 		 ACCURACY_1 = 0.880524 	 ACCURACY_2 = 0.728023 	 ACCURACY_3 = 0.922368 	 ACCURACY_OVERALL = 0.857927
NEURONS1 = 20 		 NEURONS1 = 19 		 ACCURACY_1 = 0.889689 	 ACCURACY_2 = 0.724760 	 ACCURACY_3 = 0.923565 	 ACCURACY_OVERALL = 0.860417
NEURONS1 = 21 		 NEURONS1 = 9 		 ACCURACY_1 = 0.931260 	 ACCURACY_2 = 0.662188 	 ACCURACY_3 = 0.913876 	 ACCURACY_OVERALL = 0.852642
NEURONS1 = 22 		 NEURONS1 = 2 		 ACCURACY_1 = 0.926023 	 ACCURACY_2 = 0.637428 	 ACCURACY_3 = 0.914474 	 ACCURACY_OVERALL = 0.844715
NEURONS1 = 23 		 NEURONS1 = 6 		 ACCURACY_1 = 0.882160 	 ACCURACY_2 = 0.737044 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.865346
NEURONS1 = 24 		 NEURONS1 = 7 		 ACCURACY_1 = 0.867430 	 ACCURACY_2 = 0.750480 	 ACCURACY_3 = 0.888756 	 ACCURACY_OVERALL = 0.845528
NEURONS1 = 25 		 NEURONS1 = 18 		 ACCURACY_1 = 0.894435 	 ACCURACY_2 = 0.706334 	 ACCURACY_3 = 0.938517 	 ACCURACY_OVERALL = 0.863364
NEURONS1 = 26 		 NEURONS1 = 12 		 ACCURACY_1 = 0.880687 	 ACCURACY_2 = 0.727639 	 ACCURACY_3 = 0.927751 	 ACCURACY_OVERALL = 0.860163
NEURONS1 = 27 		 NEURONS1 = 4 		 ACCURACY_1 = 0.882160 	 ACCURACY_2 = 0.753359 	 ACCURACY_3 = 0.937440 	 ACCURACY_OVERALL = 0.871545
NEURONS1 = 28 		 NEURONS1 = 14 		 ACCURACY_1 = 0.872340 	 ACCURACY_2 = 0.754319 	 ACCURACY_3 = 0.934211 	 ACCURACY_OVERALL = 0.867378
NEURONS1 = 29 		 NEURONS1 = 3 		 ACCURACY_1 = 0.873977 	 ACCURACY_2 = 0.740883 	 ACCURACY_3 = 0.935407 	 ACCURACY_OVERALL = 0.864837
NEURONS1 = 30 		 NEURONS1 = 9 		 ACCURACY_1 = 0.877250 	 ACCURACY_2 = 0.714012 	 ACCURACY_3 = 0.917464 	 ACCURACY_OVERALL = 0.851118
NEURONS1 = 31 		 NEURONS1 = 4 		 ACCURACY_1 = 0.857610 	 ACCURACY_2 = 0.737044 	 ACCURACY_3 = 0.942584 	 ACCURACY_OVERALL = 0.861789
NEURONS1 = 32 		 NEURONS1 = 7 		 ACCURACY_1 = 0.861375 	 ACCURACY_2 = 0.747025 	 ACCURACY_3 = 0.934689 	 ACCURACY_OVERALL = 0.862246
NEURONS1 = 33 		 NEURONS1 = 7 		 ACCURACY_1 = 0.877250 	 ACCURACY_2 = 0.733205 	 ACCURACY_3 = 0.934211 	 ACCURACY_OVERALL = 0.863313
NEURONS1 = 34 		 NEURONS1 = 17 		 ACCURACY_1 = 0.878396 	 ACCURACY_2 = 0.729942 	 ACCURACY_3 = 0.927512 	 ACCURACY_OVERALL = 0.859959
NEURONS1 = 35 		 NEURONS1 = 10 		 ACCURACY_1 = 0.872013 	 ACCURACY_2 = 0.743186 	 ACCURACY_3 = 0.921172 	 ACCURACY_OVERALL = 0.858791
NEURONS1 = 36 		 NEURONS1 = 2 		 ACCURACY_1 = 0.918167 	 ACCURACY_2 = 0.689060 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.863821
NEURONS1 = 37 		 NEURONS1 = 13 		 ACCURACY_1 = 0.873977 	 ACCURACY_2 = 0.754319 	 ACCURACY_3 = 0.893541 	 ACCURACY_OVERALL = 0.850610
NEURONS1 = 38 		 NEURONS1 = 6 		 ACCURACY_1 = 0.873322 	 ACCURACY_2 = 0.735509 	 ACCURACY_3 = 0.930502 	 ACCURACY_OVERALL = 0.861128
NEURONS1 = 39 		 NEURONS1 = 9 		 ACCURACY_1 = 0.873977 	 ACCURACY_2 = 0.735125 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.862297
NEURONS1 = 40 		 NEURONS1 = 13 		 ACCURACY_1 = 0.862520 	 ACCURACY_2 = 0.752399 	 ACCURACY_3 = 0.935407 	 ACCURACY_OVERALL = 0.864329
NEURONS1 = 41 		 NEURONS1 = 16 		 ACCURACY_1 = 0.903437 	 ACCURACY_2 = 0.725528 	 ACCURACY_3 = 0.899522 	 ACCURACY_OVERALL = 0.854675
NEURONS1 = 42 		 NEURONS1 = 11 		 ACCURACY_1 = 0.882160 	 ACCURACY_2 = 0.733205 	 ACCURACY_3 = 0.935407 	 ACCURACY_OVERALL = 0.865346
NEURONS1 = 43 		 NEURONS1 = 15 		 ACCURACY_1 = 0.873977 	 ACCURACY_2 = 0.738964 	 ACCURACY_3 = 0.935407 	 ACCURACY_OVERALL = 0.864329
NEURONS1 = 44 		 NEURONS1 = 10 		 ACCURACY_1 = 0.862357 	 ACCURACY_2 = 0.754511 	 ACCURACY_3 = 0.928110 	 ACCURACY_OVERALL = 0.861738
NEURONS1 = 45 		 NEURONS1 = 16 		 ACCURACY_1 = 0.875614 	 ACCURACY_2 = 0.754319 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.867886
NEURONS1 = 46 		 NEURONS1 = 19 		 ACCURACY_1 = 0.870704 	 ACCURACY_2 = 0.760077 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.867886
NEURONS1 = 47 		 NEURONS1 = 11 		 ACCURACY_1 = 0.865466 	 ACCURACY_2 = 0.756622 	 ACCURACY_3 = 0.931699 	 ACCURACY_OVERALL = 0.864787
NEURONS1 = 48 		 NEURONS1 = 12 		 ACCURACY_1 = 0.859247 	 ACCURACY_2 = 0.769674 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.866870
NEURONS1 = 49 		 NEURONS1 = 15 		 ACCURACY_1 = 0.881342 	 ACCURACY_2 = 0.725528 	 ACCURACY_3 = 0.934809 	 ACCURACY_OVERALL = 0.862805
NEURONS1 = 50 		 NEURONS1 = 18 		 ACCURACY_1 = 0.906710 	 ACCURACY_2 = 0.731286 	 ACCURACY_3 = 0.897129 	 ACCURACY_OVERALL = 0.856199
NEURONS1 = 51 		 NEURONS1 = 11 		 ACCURACY_1 = 0.883797 	 ACCURACY_2 = 0.761996 	 ACCURACY_3 = 0.910287 	 ACCURACY_OVERALL = 0.862805
NEURONS1 = 52 		 NEURONS1 = 20 		 ACCURACY_1 = 0.891817 	 ACCURACY_2 = 0.723800 	 ACCURACY_3 = 0.932297 	 ACCURACY_OVERALL = 0.864533
NEURONS1 = 53 		 NEURONS1 = 13 		 ACCURACY_1 = 0.880524 	 ACCURACY_2 = 0.742802 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.866362
NEURONS1 = 54 		 NEURONS1 = 18 		 ACCURACY_1 = 0.862520 	 ACCURACY_2 = 0.786948 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.872459
NEURONS1 = 55 		 NEURONS1 = 13 		 ACCURACY_1 = 0.878887 	 ACCURACY_2 = 0.748560 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.867378
NEURONS1 = 56 		 NEURONS1 = 11 		 ACCURACY_1 = 0.847791 	 ACCURACY_2 = 0.758157 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.860264
NEURONS1 = 57 		 NEURONS1 = 8 		 ACCURACY_1 = 0.861047 	 ACCURACY_2 = 0.771401 	 ACCURACY_3 = 0.893541 	 ACCURACY_OVERALL = 0.851118
NEURONS1 = 58 		 NEURONS1 = 11 		 ACCURACY_1 = 0.872340 	 ACCURACY_2 = 0.742802 	 ACCURACY_3 = 0.934211 	 ACCURACY_OVERALL = 0.864329
NEURONS1 = 59 		 NEURONS1 = 4 		 ACCURACY_1 = 0.846154 	 ACCURACY_2 = 0.754319 	 ACCURACY_3 = 0.929426 	 ACCURACY_OVERALL = 0.857215
NEURONS1 = 60 		 NEURONS1 = 4 		 ACCURACY_1 = 0.855974 	 ACCURACY_2 = 0.775432 	 ACCURACY_3 = 0.935407 	 ACCURACY_OVERALL = 0.868394
NEURONS1 = 61 		 NEURONS1 = 16 		 ACCURACY_1 = 0.875614 	 ACCURACY_2 = 0.735125 	 ACCURACY_3 = 0.935407 	 ACCURACY_OVERALL = 0.863821
NEURONS1 = 62 		 NEURONS1 = 4 		 ACCURACY_1 = 0.874632 	 ACCURACY_2 = 0.682342 	 ACCURACY_3 = 0.935526 	 ACCURACY_OVERALL = 0.849593
NEURONS1 = 63 		 NEURONS1 = 9 		 ACCURACY_1 = 0.870213 	 ACCURACY_2 = 0.781190 	 ACCURACY_3 = 0.931100 	 ACCURACY_OVERALL = 0.872510
NEURONS1 = 64 		 NEURONS1 = 6 		 ACCURACY_1 = 0.842881 	 ACCURACY_2 = 0.761996 	 ACCURACY_3 = 0.934211 	 ACCURACY_OVERALL = 0.860264
NEURONS1 = 65 		 NEURONS1 = 5 		 ACCURACY_1 = 0.880524 	 ACCURACY_2 = 0.738964 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.865346
NEURONS1 = 66 		 NEURONS1 = 15 		 ACCURACY_1 = 0.888707 	 ACCURACY_2 = 0.731286 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.865854
NEURONS1 = 67 		 NEURONS1 = 15 		 ACCURACY_1 = 0.877250 	 ACCURACY_2 = 0.761036 	 ACCURACY_3 = 0.942584 	 ACCURACY_OVERALL = 0.874238
NEURONS1 = 68 		 NEURONS1 = 17 		 ACCURACY_1 = 0.863011 	 ACCURACY_2 = 0.760461 	 ACCURACY_3 = 0.927512 	 ACCURACY_OVERALL = 0.863262
NEURONS1 = 69 		 NEURONS1 = 9 		 ACCURACY_1 = 0.862684 	 ACCURACY_2 = 0.758349 	 ACCURACY_3 = 0.928110 	 ACCURACY_OVERALL = 0.862856
NEURONS1 = 70 		 NEURONS1 = 9 		 ACCURACY_1 = 0.883797 	 ACCURACY_2 = 0.752399 	 ACCURACY_3 = 0.930622 	 ACCURACY_OVERALL = 0.868902
NEURONS1 = 71 		 NEURONS1 = 5 		 ACCURACY_1 = 0.869067 	 ACCURACY_2 = 0.752399 	 ACCURACY_3 = 0.925837 	 ACCURACY_OVERALL = 0.862297
NEURONS1 = 72 		 NEURONS1 = 20 		 ACCURACY_1 = 0.860229 	 ACCURACY_2 = 0.755470 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.863415
NEURONS1 = 73 		 NEURONS1 = 12 		 ACCURACY_1 = 0.841899 	 ACCURACY_2 = 0.792514 	 ACCURACY_3 = 0.918900 	 ACCURACY_OVERALL = 0.861535
NEURONS1 = 74 		 NEURONS1 = 4 		 ACCURACY_1 = 0.865466 	 ACCURACY_2 = 0.768714 	 ACCURACY_3 = 0.930502 	 ACCURACY_OVERALL = 0.867480
NEURONS1 = 75 		 NEURONS1 = 20 		 ACCURACY_1 = 0.869885 	 ACCURACY_2 = 0.739155 	 ACCURACY_3 = 0.930502 	 ACCURACY_OVERALL = 0.861026
NEURONS1 = 76 		 NEURONS1 = 18 		 ACCURACY_1 = 0.856628 	 ACCURACY_2 = 0.763724 	 ACCURACY_3 = 0.933134 	 ACCURACY_OVERALL = 0.864533
