NN CREATED N.5
NEURONS = 2 		 ACCURACY_1 = 0.978495 	 ACCURACY_2 = 0.050000 	 ACCURACY_3 = 0.850467 	 ACCURACY_OVERALL = 0.711538
NEURONS = 3 		 ACCURACY_1 = 0.870968 	 ACCURACY_2 = 0.100000 	 ACCURACY_3 = 0.925234 	 ACCURACY_OVERALL = 0.715385
NEURONS = 4 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.100000 	 ACCURACY_3 = 0.738318 	 ACCURACY_OVERALL = 0.653846
NEURONS = 5 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.183333 	 ACCURACY_3 = 0.887850 	 ACCURACY_OVERALL = 0.730769
NEURONS = 6 		 ACCURACY_1 = 0.774194 	 ACCURACY_2 = 0.550000 	 ACCURACY_3 = 0.859813 	 ACCURACY_OVERALL = 0.757692
NEURONS = 7 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.533333 	 ACCURACY_3 = 0.850467 	 ACCURACY_OVERALL = 0.800000
NEURONS = 8 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.516667 	 ACCURACY_3 = 0.841121 	 ACCURACY_OVERALL = 0.788462
NEURONS = 9 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.516667 	 ACCURACY_3 = 0.869159 	 ACCURACY_OVERALL = 0.803846
NEURONS = 10 		 ACCURACY_1 = 0.935484 	 ACCURACY_2 = 0.516667 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.815385
NEURONS = 11 		 ACCURACY_1 = 0.946237 	 ACCURACY_2 = 0.500000 	 ACCURACY_3 = 0.915888 	 ACCURACY_OVERALL = 0.830769
NEURONS = 12 		 ACCURACY_1 = 0.967742 	 ACCURACY_2 = 0.500000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.830769
NEURONS = 13 		 ACCURACY_1 = 0.956989 	 ACCURACY_2 = 0.500000 	 ACCURACY_3 = 0.887850 	 ACCURACY_OVERALL = 0.823077
NEURONS = 14 		 ACCURACY_1 = 0.924731 	 ACCURACY_2 = 0.500000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.815385
NEURONS = 15 		 ACCURACY_1 = 0.924731 	 ACCURACY_2 = 0.566667 	 ACCURACY_3 = 0.869159 	 ACCURACY_OVERALL = 0.819231
NEURONS = 16 		 ACCURACY_1 = 0.935484 	 ACCURACY_2 = 0.583333 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.830769
NEURONS = 17 		 ACCURACY_1 = 0.935484 	 ACCURACY_2 = 0.600000 	 ACCURACY_3 = 0.869159 	 ACCURACY_OVERALL = 0.830769
NEURONS = 18 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.550000 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.811538
NEURONS = 19 		 ACCURACY_1 = 0.946237 	 ACCURACY_2 = 0.566667 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.830769
NEURONS = 20 		 ACCURACY_1 = 0.924731 	 ACCURACY_2 = 0.533333 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.815385
NEURONS = 21 		 ACCURACY_1 = 0.924731 	 ACCURACY_2 = 0.533333 	 ACCURACY_3 = 0.869159 	 ACCURACY_OVERALL = 0.811538
NEURONS = 22 		 ACCURACY_1 = 0.956989 	 ACCURACY_2 = 0.583333 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.838462
NEURONS = 23 		 ACCURACY_1 = 0.935484 	 ACCURACY_2 = 0.600000 	 ACCURACY_3 = 0.906542 	 ACCURACY_OVERALL = 0.846154
NEURONS = 24 		 ACCURACY_1 = 0.935484 	 ACCURACY_2 = 0.616667 	 ACCURACY_3 = 0.869159 	 ACCURACY_OVERALL = 0.834615
NEURONS = 25 		 ACCURACY_1 = 0.956989 	 ACCURACY_2 = 0.666667 	 ACCURACY_3 = 0.869159 	 ACCURACY_OVERALL = 0.853846
NEURONS = 26 		 ACCURACY_1 = 0.967742 	 ACCURACY_2 = 0.650000 	 ACCURACY_3 = 0.869159 	 ACCURACY_OVERALL = 0.853846
NEURONS = 27 		 ACCURACY_1 = 0.956989 	 ACCURACY_2 = 0.666667 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.857692
NEURONS = 28 		 ACCURACY_1 = 0.946237 	 ACCURACY_2 = 0.683333 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.857692
NEURONS = 29 		 ACCURACY_1 = 0.946237 	 ACCURACY_2 = 0.666667 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.853846
NEURONS = 30 		 ACCURACY_1 = 0.946237 	 ACCURACY_2 = 0.666667 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.853846
NEURONS = 31 		 ACCURACY_1 = 0.924731 	 ACCURACY_2 = 0.616667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.842308
NEURONS = 32 		 ACCURACY_1 = 0.946237 	 ACCURACY_2 = 0.600000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.846154
NEURONS = 33 		 ACCURACY_1 = 0.946237 	 ACCURACY_2 = 0.683333 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.857692
NEURONS = 34 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.600000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.834615
